ID do hospede,Nome do hospede,Cidade,Bairro,Tipo de imovel,Preço,Minimo de noite,Numero de avaliações,Ultima avaliação,Avaliação por mês,contagem calculada de listagens de hospede,disponibilidade 365
2845,Jennifer,Manhattan,Midtown,Entire home/apt,225,1,45,5/21/2019,38,2,355
4869,LisaRoxanne,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,7/5/2019,464,1,194
7192,Laura,Manhattan,East Harlem,Entire home/apt,80,10,9,11/19/2018,10,1,0
7322,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,74,6/22/2019,59,1,129
7549,Ben,Manhattan,Chinatown,Entire home/apt,150,1,160,6/9/2019,133,4,188
7702,Lena,Manhattan,Upper West Side,Entire home/apt,135,5,53,6/22/2019,43,1,6
11975,Alina,Manhattan,West Village,Entire home/apt,120,90,27,10/31/2018,22,1,0
15991,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt,140,2,148,6/29/2019,120,1,46
17571,Jane,Brooklyn,Fort Greene,Entire home/apt,215,2,198,6/28/2019,172,1,321
20950,Adam And Charity,Brooklyn,Crown Heights,Entire home/apt,99,3,53,6/22/2019,444,1,21
17985,Sing,Manhattan,East Harlem,Entire home/apt,190,7,0,,,2,249
21207,Chaya,Brooklyn,Williamsburg,Entire home/apt,299,3,9,12/28/2011,7,1,0
25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,6/19/2019,73,2,233
30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,8/13/2017,49,1,75
21904,Dana,Manhattan,East Village,Entire home/apt,180,14,29,4/19/2019,24,1,67
44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,85,2,231,6/22/2019,196,2,22
47610,Abdul,Brooklyn,South Slope,Entire home/apt,120,3,15,5/27/2019,39,1,345
47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,6/13/2019,84,1,309
49670,Rana,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,6/5/2019,49,1,95
50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,5/25/2019,52,1,265
50846,Jennifer,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,1/1/2017,10,1,0
56094,Joya,Manhattan,Upper West Side,Entire home/apt,151,2,73,7/7/2019,63,1,302
56104,James,Brooklyn,Williamsburg,Entire home/apt,228,3,82,5/17/2019,70,1,140
56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt,144,2,328,6/29/2019,282,1,234
56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,3/25/2019,22,1,257
56512,Joanna,Brooklyn,Williamsburg,Entire home/apt,150,30,105,6/22/2019,90,1,30
60049,Ted,Manhattan,SoHo,Entire home/apt,180,30,21,6/29/2019,30,1,154
60278,Petra,Manhattan,Chelsea,Entire home/apt,375,180,5,11/3/2018,12,1,180
61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,3/30/2019,57,2,231
63588,Dimitri,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,1/26/2019,133,2,297
64056,Sara,Brooklyn,Park Slope,Entire home/apt,225,3,4,9/24/2017,16,1,0
64522,Daniel,Brooklyn,Williamsburg,Entire home/apt,275,1,148,6/23/2019,140,1,362
65837,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,6/23/2019,164,1,215
66035,Anna,Manhattan,East Village,Entire home/apt,230,9,49,5/14/2018,43,1,116
69829,Josh,Manhattan,East Village,Entire home/apt,190,5,21,1/2/2019,20,1,224
73051,Sybilla,Manhattan,Harlem,Entire home/apt,110,31,54,3/23/2019,49,1,209
73128,JoLynn,Manhattan,Lower East Side,Entire home/apt,285,5,70,6/30/2019,62,1,328
73469,Gaia,Brooklyn,Flatbush,Entire home/apt,130,6,16,6/15/2019,15,1,38
74303,Maggie,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,8/4/2016,24,1,7
74857,Starlee,Brooklyn,Williamsburg,Entire home/apt,105,3,61,8/9/2018,53,1,272
78460,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,6/27/2019,340,1,207
79070,Tracy,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,5/21/2019,30,1,158
79402,Christiana,Brooklyn,Williamsburg,Entire home/apt,100,5,168,7/22/2018,157,1,0
44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,105,3,118,6/18/2019,105,2,9
42032,Dana,Manhattan,Upper West Side,Entire home/apt,140,3,81,7/7/2019,71,1,198
